,State,Region,Cigarette Use.Adult.Smokers,Cigarette Use.Adult.Tried to Quit,Social Determinants.Consumed 1 or More Fruits per Day,Social Determinants.Consumed 1 or More Vegetables per Day,Social Determinants.Had a Mammogram in Past 2 Years,Social Determinants.Healthy Weight (BMI 18.5 to <25),Social Determinants.No Leisure Time Physical Activity,Social Determinants.Received at Least One Recommended CRC Test,State Demographics.Population,State Demographics.Population.65 and Older,State Demographics.Population.18 and Younger,State Demographics.Education.Bachelor's Degree or Higher,State Demographics.Employment.Firms.Total,State Demographics.Ethnicities.Black,State Demographics.Ethnicities.Hispanic,State Demographics.Ethnicities.White,State Demographics.Housing.Households with Internet,State Demographics.Income.Median Houseold Income,State Demographics.Income.Per Capita Income,State Demographics.Income.Persons Below Poverty Level,State Demographics.Miscellaneous.Language Other than English at Home,State Demographics.Miscellaneous.Under 65 Years Witout Health Insurance,State Demographics.Miscellaneous.Under 66 Years With a Disability,State Demographics.Sales.Accommodation and Food Services Sales,State Demographics.Sales.Retail Sales,Cancer Death Rate.Total,Cancer Death Rate.Breast,Cancer Death Rate.Colorectal,Cancer Death Rate.Lung
27,Nebraska,Midwest,94.10839845343165,52.80080999070101,573.0001060410787,791.9999143514365,676.0001509046119,257.00024063167854,238.00002447101815,640.9999673719758,1961504,162.00017945413316,246.00000815700605,319.00011419808476,83.65468538427656,51.99989395892132,113.9997675253275,880.9999877644909,833.999828702873,31.322393428715923,16.467975594237892,99.00005302053934,115.00002039251513,97.99980015335171,77.99984093838198,1577.6149322152796,15534.363937060542,1.875,0.248,0.192,0.495
28,Nevada,West,108.69918128308382,56.53005494402847,581.0000856789283,760.0001159564442,627.0000070862271,304.9999130326669,257.00006506444925,609.0000238354913,3104614,161.00004702678015,224.99995168481493,247.00011015862196,73.1672278743831,102.99992205150141,291.99990723484467,739.0000818137135,832.0000489593875,19.443640980811143,10.164548636320006,125.00008052530846,304.00011080282445,133.99991110005945,86.00006313184183,8851.826668307236,12315.273331886025,1.679,0.246,0.167,0.485
29,New Hampshire,Northeast,81.80009277481635,54.97742697249931,642.9998932871831,846.9999542659356,737.9997081731128,298.99987586468234,211.99989256124553,716.0001713212571,1377529,187.0000558971898,187.99967187623636,370.00019600313317,95.5609645967526,18.00034699813942,39.99988384999517,930.9996377571724,877.0000486378145,55.7287723162271,29.03967901946166,73.00027803407406,79.99976769999034,75.99985190874385,90.00028311563676,2135.9100243987605,18887.5885734529,1.979,0.261,0.165,0.554
30,New Jersey,Mid-Atlantic,70.11835727313421,44.341615464494865,648.9999885886459,786.999970072109,705.0000247604854,316.99998944988016,242.00004865973645,653.9999918182745,9288994,165.99999956938285,218.00003315751954,397.00004112393657,85.27166666271934,150.99998988049728,209.0000273441882,719.0000338034453,858.0000159328341,8.886322889217068,4.60168237809175,91.99995177088068,312.9999868661773,91.99995177088068,65.00004198517084,2117.9428041400392,14389.688269795415,1.899,0.303,0.188,0.475
31,New Mexico,Southwest,110.93155112438029,67.74569520411121,588.0000302240071,777.0001917335452,620.00017001004,279.9999244399822,241.00009350552202,584.0000717820169,2117522,180.00001889000444,226.99976670844507,273.00023329155493,71.4811935838211,26.0002021230476,492.99983660146154,819.0002276245536,745.9998054329542,23.496332033386192,12.85937052838176,181.99999811099954,339.9997733199466,120.00017001004004,105.00008972752113,2054.1330857483417,11890.91494681047,1.632,0.232,0.162,0.363
32,New York,Northeast,76.78718281231026,48.57803594223308,642.9999947032978,792.9999773776364,730.9999990594641,325.9999913866712,261.0000005445208,690.000009405359,20201249,168.99999599034695,207.0000226223636,365.99999336674676,99.44870240448994,176.0000087123326,192.99999717839228,695.9999849514255,827.999991485675,3.3901864186714397,1.9467113147310842,129.99998168430082,305.00000272260394,60.99999064414285,76.00000376214362,2439.7257813118385,12433.27756615445,1.832,0.268,0.174,0.472
33,North Carolina,Southeast,110.21249521523676,66.47362853071463,597.0000348679444,819.9999846734311,721.9999869724164,281.99996015092074,219.00000268214956,680.9999781596392,10439388,167.00001954137542,219.00000268214956,312.9999574687712,77.20615423049703,221.9999869724164,97.99999770101466,706.000006896956,806.9999888882375,5.230383237025006,2.9487360753331515,136.00002222352498,118.00002069086808,134.00000076632844,93.99995478662159,1783.8457580080365,11561.119004294122,1.887,0.261,0.16,0.572
34,North Dakota,Midwest,111.69383925431335,62.41608843092104,560.0004620751796,773.000433837252,720.000410733493,256.9997972003378,214.99973045614522,663.9994660464591,779094,157.0003106172041,235.99976382824153,299.99974329156686,87.62742364849427,33.99974842573553,41.00018739715618,869.00040303224,807.0001822629876,83.2941852972812,46.287097577442516,106.00004620751797,60.000462075179634,81.00049544727594,72.00029778178244,2625.001604427707,19920.33823903149,1.891,0.266,0.195,0.477
35,Ohio,Midwest,121.27414773979257,72.53635932799568,569.9999694900982,803.9999837280524,683.0000013559957,278.00003864587563,263.99997694807416,676.0000128819586,11799448,174.99996610010908,220.99999932200217,283.00001830594107,76.68273973494354,131.0000264419149,40.00000677997818,816.9999986440043,819.9999694900982,4.797004063240925,2.674023394992715,131.0000264419149,71.99997830406981,78.00000474598473,100.00001694994546,1750.3172182291917,13013.659367794155,2.178,0.303,0.202,0.642
36,Oklahoma,Southwest,111.6071236891482,73.96839837215828,512.9999775215799,793.0000179322228,642.0000944598777,263.99995150722856,309.99989139639735,611.0000800635861,3959353,161.00004217860848,240.9999815626442,254.99999621150224,82.64708905722728,78.0001176959973,110.99995378032725,739.999944435366,785.9998843245348,13.365567556113335,7.178445569263463,152.00008688288213,104.99998358317634,167.9999232197786,115.00010228943971,1798.564816019183,12693.041262044582,2.094,0.278,0.193,0.652
